date,post_count,Average_Sentiment,Uktemp,heatwaveday
2024-06-01,26,0.04,12.73947368,0
2024-06-02,17,0.12,13.69736842,0
2024-06-03,9,0.24,14.19736842,0
2024-06-04,13,0.19,12.78421053,0
2024-06-05,17,0.11,10.84210526,0
2024-06-06,19,0.06,11.13947368,0
2024-06-07,21,-0.04,11.98421053,0
2024-06-08,6,0.14,11.93947368,0
2024-06-09,13,0.06,11.71842105,0
2024-06-10,12,0.09,11.17894737,0
2024-06-11,18,0.10,10.71052632,0
2024-06-12,31,0.06,11.19736842,0
2024-06-13,25,0.01,11.93157895,0
2024-06-14,36,0.05,12.76578947,0
2024-06-15,38,0.13,11.96315789,0
2024-06-16,64,0.06,13.10789474,0
2024-06-17,95,0.06,13.74210526,0
2024-06-18,142,0.10,13.04736842,0
2024-06-19,145,0.06,13.46052632,0
2024-06-20,129,0.10,14.67631579,0
2024-06-21,134,0.18,15.12368421,0
2024-06-22,89,0.10,14.78684211,0
2024-06-23,74,0.14,15.79473684,0
2024-06-24,78,0.08,17.67105263,1
2024-06-25,58,0.09,16.83157895,1
2024-06-26,63,0.04,16.92631579,1
2024-06-27,56,0.06,15.61578947,1
2024-06-28,30,0.06,13.97368421,0
2024-06-29,21,0.07,13.83421053,0
2024-06-30,28,0.19,13.75526316,0
2024-07-01,37,0.05,13.86052632,0
2024-07-02,38,-0.03,13.58157895,0
2024-07-03,36,0.04,13.52894737,0
2024-07-04,34,0.10,13.36052632,0
2024-07-05,41,0.06,13.95789474,0
2024-07-06,47,0.07,12.8,0
2024-07-07,69,0.11,12.98684211,0
2024-07-08,79,0.02,13.89210526,0
2024-07-09,106,0.07,15.08684211,0
2024-07-10,80,0.08,14.97368421,0
2024-07-11,70,0.11,14.09736842,0
2024-07-12,53,0.05,13.53684211,0
2024-07-13,32,0.08,13.81052632,0
2024-07-14,29,0.17,14.78421053,0
2024-07-15,50,0.02,14.95263158,0
2024-07-16,48,0.06,15.30263158,0
2024-07-17,47,0.04,16.12894737,0
2024-07-18,48,0.10,17.42368421,1
2024-07-19,67,0.14,18.74210526,1
2024-07-20,35,0.09,17.33684211,1
2024-07-21,26,0.06,15.50526316,0
2024-07-22,19,0.08,15.98421053,0
2024-07-23,21,0.08,16.14473684,0
2024-07-24,16,0.02,16.11842105,0
2024-07-25,22,0.06,16.44473684,0
2024-07-26,15,0.17,15.5,0
2024-07-27,31,0.05,15.48947368,0
2024-07-28,26,0.11,16.31052632,0
2024-07-29,24,0.06,17.88157895,0
2024-07-30,35,0.05,18.02105263,0
2024-07-31,43,0.08,17.74473684,0
2024-08-01,43,0.13,18.21315789,0
2024-08-02,45,0.05,17.56315789,0
2024-08-03,20,0.08,15.80263158,0
2024-08-04,34,0.10,15.81052632,0
2024-08-05,25,0.03,17.93157895,0
2024-08-06,25,0.03,16.42894737,0
2024-08-07,18,0.11,15.62105263,0
2024-08-08,16,0.08,16.60526316,0
2024-08-09,15,0.11,17.03157895,0
2024-08-10,17,-0.05,16.92631579,0
2024-08-11,31,0.19,18.10810811,1
2024-08-12,35,0.06,17.93333333,1
2024-08-13,27,-0.03,16.84736842,1
2024-08-14,23,0.05,16.21842105,0
2024-08-15,19,0.00,16.48947368,0
2024-08-16,25,0.11,15.59473684,0
2024-08-17,13,0.13,15.27368421,0
2024-08-18,17,0.17,15.26578947,0
2024-08-19,18,0.04,15.22894737,0
2024-08-20,9,0.12,15.07105263,0
2024-08-21,13,0.14,14.55526316,0
2024-08-22,10,0.13,15.50526316,0
2024-08-23,11,0.07,15.05789474,0
2024-08-24,11,-0.10,14.03684211,0
2024-08-25,7,0.03,13.73947368,0
2024-08-26,23,0.14,15.27894737,0
2024-08-27,25,-0.01,16.93157895,0
2024-08-28,21,0.10,16.85526316,0
2024-08-29,20,0.04,14.90263158,0
2024-08-30,14,0.10,14.42631579,0
2024-08-31,20,0.20,15.25526316,0
2024-09-01,14,0.13,17.01842105,0
2024-09-02,21,0.00,16.17368421,0
2024-09-03,17,0.09,14.67105263,0
2024-09-04,38,0.08,13.47631579,0
2024-09-05,40,0.10,14.22105263,0
2024-09-06,51,0.13,16.45,0
2024-09-07,40,0.07,16.08947368,0
2024-09-08,44,0.02,14.62105263,0
2024-09-09,24,0.05,13.36315789,0
2024-09-10,39,0.04,12.42631579,0
2024-09-11,27,0.05,10.62631579,0
2024-09-12,23,0.22,9.784210526,0
2024-09-13,24,0.04,8.926315789,0
2024-09-14,15,0.09,13.42894737,0
2024-09-15,10,0.05,13.37894737,0
2024-09-16,11,0.12,13.67105263,0
2024-09-17,15,0.18,15.01052632,0
2024-09-18,5,0.05,15.11315789,0
2024-09-19,22,0.06,15.18421053,0
2024-09-20,14,0.11,14.81315789,0
2024-09-21,8,0.09,15.00263158,0
2024-09-22,9,0.03,14.36578947,0
2024-09-23,10,0.07,13.28157895,0
2024-09-24,7,0.04,11.94736842,0
2024-09-25,6,-0.10,10.90263158,0
2024-09-26,6,0.05,11.72105263,0
2024-09-27,9,0.13,9.684210526,0
2024-09-28,9,-0.05,9.368421053,0
2024-09-29,10,0.10,10.74210526,0
2024-09-30,17,0.11,12.22631579,0
