"id","date","tavg","region"
"AG000060390",2023-06-01,19.3,"Europe"
"AG000060390",2023-06-02,19.7,"Europe"
"AG000060390",2023-06-03,19.4,"Europe"
"AG000060390",2023-06-04,20.1,"Europe"
"AG000060390",2023-06-05,20.4,"Europe"
"AG000060390",2023-06-06,20.5,"Europe"
"AG000060390",2023-06-07,21.2,"Europe"
"AG000060390",2023-06-08,23.3,"Europe"
"AG000060390",2023-06-09,22.6,"Europe"
"AG000060390",2023-06-10,22.2,"Europe"
"AG000060390",2023-06-11,23.1,"Europe"
"AG000060390",2023-06-12,23.7,"Europe"
"AG000060390",2023-06-13,23.7,"Europe"
"AG000060390",2023-06-14,23.1,"Europe"
"AG000060390",2023-06-15,22.8,"Europe"
"AG000060390",2023-06-16,24.6,"Europe"
"AG000060390",2023-06-17,25.2,"Europe"
"AG000060390",2023-06-18,27.3,"Europe"
"AG000060390",2023-06-19,30.8,"Europe"
"AG000060390",2023-06-20,24.5,"Europe"
"AG000060390",2023-06-21,24.9,"Europe"
"AG000060390",2023-06-22,24.9,"Europe"
"AG000060390",2023-06-23,24.6,"Europe"
"AG000060390",2023-06-24,24.7,"Europe"
"AG000060390",2023-06-25,24.4,"Europe"
"AG000060390",2023-06-26,23.7,"Europe"
"AG000060390",2023-06-27,25.7,"Europe"
"AG000060390",2023-06-28,26.2,"Europe"
"AG000060390",2023-06-29,24.1,"Europe"
"AG000060390",2023-06-30,25.2,"Europe"
"AG000060390",2023-07-01,24.9,"Europe"
"AG000060390",2023-07-02,24.7,"Europe"
"AG000060390",2023-07-03,25.9,"Europe"
"AG000060390",2023-07-04,26.1,"Europe"
"AG000060390",2023-07-05,26.1,"Europe"
"AG000060390",2023-07-06,26,"Europe"
"AG000060390",2023-07-07,27.1,"Europe"
"AG000060390",2023-07-08,27.8,"Europe"
"AG000060390",2023-07-09,28.8,"Europe"
"AG000060390",2023-07-10,37.5,"Europe"
"AG000060390",2023-07-11,40.3,"Europe"
"AG000060390",2023-07-12,31.8,"Europe"
"AG000060390",2023-07-13,29.4,"Europe"
"AG000060390",2023-07-14,28.5,"Europe"
"AG000060390",2023-07-15,28.1,"Europe"
"AG000060390",2023-07-16,29.2,"Europe"
"AG000060390",2023-07-17,33.7,"Europe"
"AG000060390",2023-07-18,33.6,"Europe"
"AG000060390",2023-07-19,30.4,"Europe"
"AG000060390",2023-07-20,31.2,"Europe"
"AG000060390",2023-07-21,30.5,"Europe"
"AG000060390",2023-07-22,30.9,"Europe"
"AG000060390",2023-07-23,35.9,"Europe"
"AG000060390",2023-07-24,35.6,"Europe"
"AG000060390",2023-07-25,29.8,"Europe"
"AG000060390",2023-07-26,28.3,"Europe"
"AG000060390",2023-07-27,28.4,"Europe"
"AG000060390",2023-07-28,27.9,"Europe"
"AG000060390",2023-07-29,28.5,"Europe"
"AG000060390",2023-07-30,28.6,"Europe"
"AG000060390",2023-07-31,28.8,"Europe"
"AG000060390",2023-08-01,27.6,"Europe"
"AG000060390",2023-08-02,28.3,"Europe"
"AG000060390",2023-08-03,28.8,"Europe"
"AG000060390",2023-08-04,25.7,"Europe"
"AG000060390",2023-08-05,24.3,"Europe"
